Trade date,Instrument code,Market code,Quantity,Price,Currency,Amount,Transaction fee,Transaction method
2024-04-08 13:30:05.391000 (UTC),NVDA,NASDAQ,0.03031156,886.79,usd,26.88,0,BUY
2024-07-29 13:30:13.609000 (UTC),AAPL,NASDAQ,0.04341839,217.22,usd,9.43,0,BUY
2024-03-11 23:16:12.599000 (UTC),IXJ,ASX,0.33307013,139.31,aud,46.4,0,BUY
2023-12-11 14:30:01.956000 (UTC),SMH,NASDAQ,0.18614321,163.53,usd,30.44,0,BUY
2024-01-16 14:30:01.743000 (UTC),IXUS,NASDAQ,0.48903957,63.41,usd,31.01,0,BUY
2024-04-29 03:22:54.851000 (UTC),BSE,ASX,74.51546392,0.242,aud,18.03,0,BUY
2024-03-04 00:07:29.826000 (UTC),BSE,ASX,161.7391304,0.115,aud,18.6,0,BUY
2023-09-24 22:41:03.777839 (UTC),24112,FundNZ,10.9181,1.008,nzd,11.01,0,BUY
2023-11-20 14:30:13.891000 (UTC),META,NASDAQ,0.04268856,334.75,usd,14.29,0,BUY
2024-06-17 13:30:00.917000 (UTC),ASX,NYSE,0.9614711,11.42,usd,10.98,0,BUY
2024-01-19 18:53:46.114000 (UTC),IVW,NYSE,3,77.33,usd,231.99,0,SELL
2025-05-27 13:30:00.053000 (UTC),UUUU,NYSE,0.84529362,5.6,usd,4.73,0.08819,SELL
2024-01-16 14:30:22.349000 (UTC),QQQ,NASDAQ,0.07593975,408.35,usd,31.01,0,BUY
2024-05-28 13:30:06.874000 (UTC),QQQ,NASDAQ,0.06633553,459.03,usd,30.45,0,BUY
2023-09-19 13:30:14.375000 (UTC),AAPL,NASDAQ,0.08289191,177.46,usd,14.71,0,BUY
2024-03-24 23:50:21.846000 (UTC),BSE,ASX,152.4166667,0.12,aud,18.29,0,BUY
2024-05-20 13:30:02.050000 (UTC),ASML,NASDAQ,0.04967727,925.78,usd,45.99,0,BUY
2025-02-11 14:30:00.635000 (UTC),IXUS,NASDAQ,0.80953757,69.2,usd,56.02,0,BUY
2023-12-26 20:59:54.000382 (UTC),CEN,NZX,1.25786163,7.95,nzd,10,0,BUY
2023-11-26 23:08:45.396000 (UTC),RIO,ASX,0.07235285,126.74,aud,9.17,0,BUY
2023-12-04 14:30:11.507000 (UTC),PLTR,NASDAQ,0.31208902,19.77,usd,6.17,0,BUY
2023-10-03 13:34:26.002000 (UTC),TM,NYSE,0.08542713,173.13,usd,14.79,0,BUY
2024-02-25 23:50:37.392228 (UTC),CEN,NZX,1.2437811,8.04,nzd,10,0,BUY
2023-10-29 23:21:56.389236 (UTC),AIR,NZX,38.16793893,0.655,nzd,25,0,BUY
2023-11-13 00:10:39.817978 (UTC),STU,NZX,9.25925926,1.08,nzd,10,0,BUY
2024-02-20 14:30:01.261000 (UTC),JNJ,NYSE,0.05815955,156.81,usd,9.12,0,BUY
2025-03-28 13:30:07.176000 (UTC),NVDA,NASDAQ,0.51198062,111.43,usd,57.05,0,BUY
2024-03-25 13:30:03.866000 (UTC),QQQ,NASDAQ,0.0674991,443.42,usd,29.93,0,BUY
2023-08-28 13:30:01.598000 (UTC),AAPL,NASDAQ,0.2725984,180,usd,49.07,0.93229,BUY
2023-12-26 23:00:01 (UTC),BSE,ASX,139.6923077,0.13,aud,18.16,0,BUY
2024-01-01 22:59:51.001000 (UTC),IXJ,ASX,0.36023715,126.5,aud,45.57,0,BUY
2024-04-15 13:30:01.953000 (UTC),TM,NYSE,0.01440722,245.71,usd,3.54,0,BUY
2024-02-20 14:30:06.215000 (UTC),ASX,NYSE,1.14554973,9.55,usd,10.94,0,BUY
2024-02-27 14:30:00.428000 (UTC),IXUS,NASDAQ,0.46505987,65.97,usd,30.68,0,BUY
2023-12-04 14:30:13.701000 (UTC),NVDA,NASDAQ,0.04019282,460.53,usd,18.51,0,BUY
